permit number,lat,long,neighborhood
PAA230393,40.4294238165713,-79.9193733127011,Squirrel Hill South
PAA234527,40.4099617876017,-79.9949231340909,Knoxville
PAA234372,40.4575723290949,-79.8941094269654,Homewood North
UND230054,40.4435800812919,-79.9212387168658,Squirrel Hill North
PAA230211,40.4543650327573,-80.0602879398989,Sheraden
PAA234514,40.4605960735463,-79.8917060792105,Homewood North
PAA234375,40.4574200965081,-79.8934345425203,Homewood North
PAA234588,40.4927487131824,-80.0240825413523,Perry North
PAA230232,40.4425805203367,-79.9617920984077,West Oakland
DEM230041,40.4605080517886,-79.9876302951548,Spring Garden
PAA230502,40.4422470230786,-79.9609286975283,West Oakland
PAA234570,40.4640691168325,-80.0080942511075,Fineview
PAA230176,40.4429590674582,-80.0019633857822,Central Business District
PAA230247,40.4408772146024,-80.0046972771664,Central Business District
PAA230250,40.4891554087612,-79.8955063177289,Lincoln-Lemington-Belmar
PAA234376,40.4571978154468,-79.8908939809009,Homewood North
PAA230487,40.4395296997538,-80.0044366428394,Central Business District
PAA230251,40.4360439740714,-79.9854587006851,Bluff
DEM230131,40.4426671595879,-80.0360657845787,Elliott
UND230036,40.4499881852426,-79.9274905774053,Squirrel Hill North
PAA234567,40.4592212468482,-79.9920474964282,Spring Garden
PAA234482,40.4101046117753,-80.0243411851606,Beechview
PAA234498,40.4621912369235,-79.8999085466291,Homewood West
PAA234330,40.428646925184,-80.0009274743864,Allentown
PAA234438,40.4854957932314,-80.0141164413463,Perry North
PAA232481,40.4421151693961,-79.9955679918911,Central Business District
PAA234500,40.4585629457026,-79.898785650201,Homewood North
PAA230379,40.4427282823019,-79.9542798552811,Central Oakland
PAA230492,40.4295856308263,-79.988892596623,South Side Flats
PAA234559,40.453210637713,-79.8836777995337,East Hills
PAA230493,40.4403592216973,-79.9614238732971,West Oakland
PAA234475,40.4722980753733,-80.0095365911076,Perry South
